taskCreatedTime,taskAssignedTo,taskCompletedTime,taskStatus,flow,taskId,taskLocationDone.lon,taskLocationDone.lat,cod.amount,cod.received,UserVar.branch_dest,UserVar.taskStatusLabel,UserVar.receiver_city,UserVar.taskDetailStatusLabel,UserVar.taskDetailStatus,UserVar.weight,UserVar.branch_origin,UserVar.taskStatus,timeDiff,timeDiffMinutes,isCOD,branchPath
2022-11-09 02:17:54+00:00,pluckyCheese3,2022-11-09 02:18:29+00:00,done,Delivery,870a6dfd50fde1e3e297,100.0319583,-0.3213507,0.0,NO COD,PDG,Success,"LUBUK BASUNG,KAB.AGA",YANG BERSANGKUTAN,D01,1.0,PKU,COLF01,0 days 00:00:35,0.5833333333333334,0,PKU->PDG
2022-11-09 01:50:16+00:00,murkySmelt7,2022-11-09 02:18:27+00:00,done,Delivery,eeb6bfc67656f6c011c4,0.0,0.0,0.0,NO COD,MJK,Success,"PETERONGAN,KAB. JOMB",YANG BERSANGKUTAN,D01,8.0,CGK,COLF01,0 days 00:28:11,28.183333333333334,0,CGK->MJK
2022-11-09 01:38:28+00:00,ashamedVenison0,2022-11-09 02:11:08+00:00,done,Delivery,a8e3f990617763d7a2a7,0.0,0.0,0.0,NO COD,KOE,Success,"ATAMBUA,KAB.BELU",YANG BERSANGKUTAN,D01,1.1,JBR,COLF01,0 days 00:32:40,32.66666666666667,0,JBR->KOE
2022-11-09 01:48:08+00:00,jealousPoultry6,2022-11-09 02:18:33+00:00,done,Delivery,18c1b9743371676eb583,115.1888643,-8.6343727,0.0,NO COD,DPS,Success,"DENPASAR BARAT,DENPA",PEMBANTU,D07,0.3,CGK,COLF01,0 days 00:30:25,30.416666666666668,0,CGK->DPS
2022-11-09 01:36:49+00:00,crummyFish1,2022-11-09 02:18:26+00:00,done,Delivery,6229153ef3aff1e2632d,106.3581192,-6.2091176,0.0,NO COD,CLG,Success,"CIKANDE,BAROS",ATASAN/STAFF/KARYAWAN/BAWAHAN,D10,1.73,CGK,COLF01,0 days 00:41:37,41.61666666666667,0,CGK->CLG
2022-11-09 01:38:28+00:00,ashamedVenison0,2022-11-09 02:13:04+00:00,done,Delivery,3748697ff73a855bac00,0.0,0.0,0.0,NO COD,KOE,Success,"ATAMBUA BARAT,BELU",ATASAN/STAFF/KARYAWAN/BAWAHAN,D10,1.15,CGK,COLF01,0 days 00:34:36,34.6,0,CGK->KOE
2022-11-09 00:46:51+00:00,mellowSausage6,2022-11-09 02:18:30+00:00,done,Delivery,7d120ce7077d75001fbd,0.0,0.0,0.0,NO COD,SUB,Success,"TUBAN,KAB.TUBAN",YANG BERSANGKUTAN,D01,1.0,MDN,COLF01,0 days 01:31:39,91.65,0,MDN->SUB
2022-11-09 01:41:04+00:00,stressedChamois9,2022-11-09 02:18:32+00:00,done,Delivery,a8c781665ed2756d209b,102.5812347,-3.6447712,0.0,NO COD,BKS,Success,"KEPAHIANG,KAB.KEPAHI",YANG BERSANGKUTAN,D01,4.6,CGK,COLF01,0 days 00:37:28,37.46666666666667,0,CGK->BKS
2022-11-09 01:38:28+00:00,ashamedVenison0,2022-11-09 02:18:01+00:00,done,Delivery,5dbea006076bf73a2a75,0.0,0.0,0.0,NO COD,KOE,Success,"ATAMBUA BARAT,BELU",YANG BERSANGKUTAN,D01,1.0,CGK,COLF01,0 days 00:39:33,39.55,0,CGK->KOE
2022-11-09 00:39:26+00:00,pleasedBustard0,2022-11-09 02:18:33+00:00,done,Delivery,562588c9fa14aeb8fd19,115.2370091,-8.6946241,0.0,NO COD,DPS,Success,"DENPASAR SELATAN,DEN",KELUARGA/SAUDARA,D09,1.0,DPS,COLF01,0 days 01:39:07,99.11666666666666,0,DPS->DPS
2022-11-09 00:45:55+00:00,dearPaella0,2022-11-09 02:18:35+00:00,done,Delivery,ce0170a9a29c27a9bad5,115.2320479,-8.6749448,0.0,NO COD,DPS,Success,"DENPASAR TIMUR,DENPA",PEMBANTU,D07,3.16,CGK,COLF01,0 days 01:32:40,92.66666666666667,0,CGK->DPS
2022-11-09 00:47:48+00:00,annoyedDove2,2022-11-09 02:18:29+00:00,done,Delivery,26bff5f6ca8dc5c7e55a,107.9118124,-7.2333936,0.0,NO COD,BDO,Success,GARUT KOTA,YANG BERSANGKUTAN,D01,2.02,CGK,COLF01,0 days 01:30:41,90.68333333333334,0,CGK->BDO
2022-11-09 00:46:32+00:00,wakefulBuzzard6,2022-11-09 02:18:32+00:00,done,Delivery,80689f78210498b9c13f,0.0,0.0,0.0,NO COD,BOO,Success,"BOGOR TIMUR, BOGOR",KELUARGA/SAUDARA,D09,1.0,CGK,COLF01,0 days 01:32:00,92.0,0,CGK->BOO
2022-11-09 00:34:42+00:00,amusedDove6,2022-11-09 02:18:33+00:00,done,Delivery,678af0a2435e5d1e6b02,101.4706703,0.5002569,0.0,NO COD,PKU,Success,"BUKIT RAYA, PEKANBAR",KELUARGA/SAUDARA,D09,1.0,BOO,COLF01,0 days 01:43:51,103.85,0,BOO->PKU
2022-11-09 01:38:28+00:00,ashamedVenison0,2022-11-09 02:18:01+00:00,done,Delivery,ee2595e4b4482979236a,0.0,0.0,0.0,NO COD,KOE,Success,"ATAMBUA BARAT,BELU",YANG BERSANGKUTAN,D01,0.667,CGK,COLF01,0 days 00:39:33,39.55,0,CGK->KOE
2022-11-09 00:45:15+00:00,crushedIguana8,2022-11-09 01:33:26+00:00,done,Delivery,a34902bf1da27b83e48e,111.0331868,-6.7564136,0.0,NO COD,SRG,Success,"PATI,KAB.PATI",ATASAN/STAFF/KARYAWAN/BAWAHAN,D10,2.6,CGK,COLF01,0 days 00:48:11,48.18333333333333,0,CGK->SRG
2022-11-09 01:32:21+00:00,similarMeerkat3,2022-11-09 02:18:33+00:00,done,Delivery,50317742d2399babf029,112.745193,-7.0327186,0.0,NO COD,SUB,Success,"BANGKALAN,KAB.BANGKA",KELUARGA/SAUDARA,D09,1.0,CGK,COLF01,0 days 00:46:12,46.2,0,CGK->SUB
2022-11-09 00:32:53+00:00,cruelBustard2,2022-11-09 02:19:42+00:00,done,Delivery,13d7ca483564662c450d,0.0,0.0,0.0,NO COD,PLM,Success,"ILIR TIMUR I, PALEMB",YANG BERSANGKUTAN,D01,1.0,CGK,COLF01,0 days 01:46:49,106.81666666666666,0,CGK->PLM
2022-11-09 01:26:51+00:00,puzzledFerret4,2022-11-09 02:19:48+00:00,done,Delivery,c9cf582fc6d19a840ab5,0.0,0.0,0.0,NO COD,SRG,Success,"WEDUNG,DEMAK",KELUARGA/SAUDARA,D09,0.015,CGK,COLF01,0 days 00:52:57,52.95,0,CGK->SRG
2022-11-09 00:41:25+00:00,sugaryCrackers2,2022-11-09 02:19:41+00:00,done,Delivery,be0a186578f2ace58a56,106.8173987,-6.479273,0.0,NO COD,BOO,Success,"CIBINONG,BOGOR",YANG BERSANGKUTAN,D01,0.066,CGK,COLF01,0 days 01:38:16,98.26666666666667,0,CGK->BOO
2022-11-09 02:19:24+00:00,unhappyCrackers3,2022-11-09 02:19:42+00:00,done,Delivery,f4e3652063174efaccf5,108.9741656,1.1786845,0.0,NO COD,PNK,Success,"PEMANGKAT, SAMBAS",YANG BERSANGKUTAN,D01,0.1,PNK,COLF01,0 days 00:00:18,0.3,0,PNK->PNK
2022-11-09 01:14:07+00:00,panickyOcelot8,2022-11-09 02:19:40+00:00,done,Delivery,788f97a71acf44ece0e3,0.0,0.0,0.0,NO COD,CLG,Success,"CINANGKA,BAROS",SUAMI/ISTRI/ANAK,D06,0.3,CGK,COLF01,0 days 01:05:33,65.55000000000001,0,CGK->CLG
2022-11-09 01:25:14+00:00,trustingUnicorn7,2022-11-09 02:19:40+00:00,done,Delivery,f5376f6b119c991694a7,112.6291008,-7.348539,177000.0,False,SUB,Failed,"DRIYOREJO,GRESIK",RUMAH service/ KANTOR KOSONG (MASIH DIHUNI),U05,1.0,CGK,COLF02,0 days 00:54:26,54.43333333333333,1,CGK->SUB
2022-11-09 02:04:21+00:00,awedApricots4,2022-11-09 02:19:36+00:00,done,Delivery,c7fa1f0fb2447f7d59f5,112.1752688,-8.1126506,0.0,NO COD,MXG,Success,"SANANWETAN,BLITAR",YANG BERSANGKUTAN,D01,12.05,CGK,COLF01,0 days 00:15:15,15.250000000000002,0,CGK->MXG
2022-11-09 01:51:00+00:00,ferventThrush7,2022-11-09 02:19:43+00:00,done,Delivery,676edadc2ad7087409a1,0.0,0.0,0.0,NO COD,BTG,Success,"BONTANG UTARA, BONTA",YANG BERSANGKUTAN,D01,5.5,CGK,COLF01,0 days 00:28:43,28.716666666666665,0,CGK->BTG
2022-11-09 00:30:29+00:00,mildChowder8,2022-11-09 02:19:40+00:00,done,Delivery,1a830ac38878c837a035,0.0,0.0,0.0,NO COD,TJQ,Success,TANJUNGPANDAN,YANG BERSANGKUTAN,D01,1.0,CGK,COLF01,0 days 01:49:11,109.18333333333334,0,CGK->TJQ
2022-11-09 01:12:57+00:00,euphoricHare6,2022-11-09 02:19:38+00:00,done,Delivery,8996320a663a1ec2706e,0.0,0.0,0.0,NO COD,MGL,Success,MUNTILAN.MAGELANG,YANG BERSANGKUTAN,D01,3.6,AMI,COLF01,0 days 01:06:41,66.68333333333334,0,AMI->MGL
2022-11-09 01:38:21+00:00,thrilledLemur6,2022-11-09 02:19:43+00:00,done,Delivery,c57655af8472bd06bcbf,98.7752621,3.5244454,0.0,NO COD,MES,Success,MEDAN,SECURITY,D04,1.0,CGK,COLF01,0 days 00:41:22,41.36666666666667,0,CGK->MES
2022-11-09 01:59:44+00:00,mereBurritos1,2022-11-09 02:19:42+00:00,done,Delivery,50d54ea88e9e0977daf8,120.1909732,-5.5524994,0.0,NO COD,UPG,Success,BULUKUMBA,YANG BERSANGKUTAN,D01,1.0,UPG,COLF01,0 days 00:19:58,19.966666666666665,0,UPG->UPG
2022-11-09 02:10:09+00:00,superiorMare3,2022-11-09 02:19:42+00:00,done,Delivery,53b69aafecbaa85cbfe3,105.8179419,-4.5990178,0.0,NO COD,TKG,Success,"DENTE TELADAS,TULANG",SUAMI/ISTRI/ANAK,D06,1.0,SOC,COLF01,0 days 00:09:33,9.55,0,SOC->TKG
2022-11-09 01:47:07+00:00,somberLemur6,2022-11-09 02:19:41+00:00,done,Delivery,09ab8a1e48db9365e972,0.0,0.0,0.0,NO COD,KDI,Success,KADIA KOTAKENDARI,YANG BERSANGKUTAN,D01,1.1,TGL,COLF01,0 days 00:32:34,32.56666666666667,0,TGL->KDI
2022-11-09 01:18:14+00:00,jumpyRat2,2022-11-09 02:19:41+00:00,done,Delivery,0f7aa08db2e39271f6dd,0.0,0.0,0.0,NO COD,SUB,Success,"MANTUP,LAMONGAN",YANG BERSANGKUTAN,D01,0.13,CGK,COLF01,0 days 01:01:27,61.45000000000001,0,CGK->SUB
2022-11-09 01:03:47+00:00,panickySwift5,2022-11-09 02:19:40+00:00,done,Delivery,398fb6915bf967129c5f,111.7065659,-8.0550585,0.0,NO COD,SUB,Success,"TRENGGALEK,KAB.TRENG",YANG BERSANGKUTAN,D01,1.49,CGK,COLF01,0 days 01:15:53,75.88333333333334,0,CGK->SUB
2022-11-09 02:02:10+00:00,gutturalMackerel8,2022-11-09 02:19:43+00:00,done,Delivery,d359ab69f79cb71dba00,108.6227029,-7.018915,0.0,NO COD,CBN,Success,"LURAGUNG,KUNINGAN",YANG BERSANGKUTAN,D01,0.05,CGK,COLF01,0 days 00:17:33,17.55,0,CGK->CBN
